Hhid,Personid,Country Of Birth,Country Of Citizenship,Head Of Household,Numppl_household,Relationship To Head Of Household,Marital Status,Age,Gender,Ethnic Origin,Year Of Entry,Original Resettlement State,State Of Residence Last Year,state of residence last year US location,Lived In Same State Last Year,primary reason for move to US,num_months__health_costs_covered_organism_past_12mo,medical_expenses_covered_by,Bad Health 6 Months Or More Limiting Work,Bad Health 6 Months Or More Preventing Work,Usual Medical Care Source,Earnings last 12 months (amount),Earnings_per_person_last_12_months,given_aid,type_aid,Received_Food_Stamps,SSI since arrival,Applied For Permanent Residency Day,Applied For Permanent Residency,Applied For Permanent Residency Month,Applied For Permanent Residency Year,Planning Immigration Status Change,Currently Enrolled English Courses,Degree Or Certificate Received,Highest Degree Before Entry,Participate In Children Education,Speak English Now,Speak English On Arrival,Taught English Before Arrival,Taught English Past 12 Months,Total Earnings From Jobs Before Taxes Past 12 Months,Years Of Schooling Before Entry,Training Duration Weeks,Public Housing,Assistance Disqualification Due To Income,Work Status Summary,Attended Job Training Past 12 Months,Attended University Or Training Past 12 Months,Employment Before Entry,first job US date month,first job US date year,Job Business Kind Or Industry,Kind Of Work Before Entry,Layoff Or Absent From Job Last Week,Looking For Work Past 4 Weeks,Number Hours All Jobs Last Week,Number Hours Primary Job Last Week,Number Jobs Last Week,Work Hours Last Year,Work Hours Per Week,Work Job Last Week,Work More One Job Last Week,Work Status,worked since US entry,Wanted Degree Or Certificate From School,Weeks Since Job Started,Cohort,Entry Between 2011 2015,first job US date,Health Costs Covered By Organism Past 12 Months,Health Costs Covered By Organism Past 12 Months Number Of Months,Health Insurance Coverage Type Past 12 Months 01,Health Insurance Coverage Type Past 12 Months 02,Health Insurance Coverage Type Past 12 Months 03,Health Insurance Coverage Type Past 12 Months 04,Health Insurance Coverage Type Past 12 Months 97,household received GA past 12 months,household received GA past 12 months number months,household received SSI past 12 months,household received SSI past 12 months number months,household received cash assistance voluntary agency sponsor religious organization MAA,Household Received Food Stamps Past 12 Months,Medical Expenses Paid How Past Month 01,Medical Expenses Paid How Past Month 02,Medical Expenses Paid How Past Month 03,Medical Expenses Paid How Past Month 04,Medical Expenses Paid How Past Month 05,Medical Expenses Paid How Past Month 06,Medical Expenses Paid How Past Month 07,Medical Expenses Paid How Past Month 08,Medical Expenses Paid How Past Month 09,Medical Expenses Paid How Past Month 10,Medical Expenses Paid How Past Month 11,Medical Expenses Paid How Past Month 12,Medical Expenses Paid How Past Month 97,Money Earned Before Taxes Primary Job Duration,Money Earned Per Hour Primary Job Last Week,Money Earned Per Hour Second Job Last Week,Money Earned Primary Job Before Taxes,Money Earned Second Job Before Taxes,Money Earned Second Job Duration,months household received TANF,months household received TANF number months,Number Months Receiving Food Stamps,Number Of Months Living In Residence,Participate In Children Education How 01,Participate In Children Education How 02,Participate In Children Education How 03,Participate In Children Education How 04,Participate In Children Education How 05,Participate In Children Education How 06,Participate In Children Education How 07,Participate In Children Education How 08,Participate In Children Education How 97,Person Who Received Food Stamps 01,Person Who Received Food Stamps 02,Person Who Received Food Stamps 03,Person Who Received Food Stamps 04,Person Who Received Food Stamps 05,,Reason Not Looking For Job 01,Reason Not Looking For Job 02,Reason Not Looking For Job 03,Reason Not Looking For Job 04,Reason Not Looking For Job 05,Reason Not Looking For Job 06,Reason Not Looking For Job 07,Reason Not Looking For Job 08,Reason Not Looking For Job 97,received GA since US arrival,received GA since US arrival number months,received RCA assistance past 12 months,received RCA assistance past 12 months number months,received SSI last month,received SSI since US arrival,received SSI since US arrival number months,received TANF cash assistance past 12 months,received TANF cash assistance past 12 months number months,received TANF last month,reeived RCA last month,Residence Monthly Payment,Residence Type,Respondent,Ui Agect Arrival,Ui Cashassist,Ui Emprate,Ui Lfp,Ui Lpr,Ui Medicaidrma,Ui Qn10A Annual,Ui Qn8A Annual,Ui School,Ui Soi,Ui Soi Pubassist,Ui Work,who received GA 01,who received GA 02,who received GA 03,who received GA 04,who received GA 05,who received RCA 01,who received RCA 02,who received RCA 03,who received RCA 04,who received RCA 05,who received SSI 01,who received SSI 02,who received SSI 03,who received SSI 04,who received SSI 05,who received TANF 01,who received TANF 02,who received TANF 03,who received TANF 04,who received TANF 05
99900249,999002491,Bhutan,None,(RECORD HEAD OF HOUSEHOLD NAME),5,Self,Married,34,Female,Other,2015 or later,West,,,Yes,Did not move to another state/it's the first state we lived in since living in U,12 months,Medicaid,No,No,Health clinic,"(25k,64k)",<=Line Poverty,Yes,GA,Yes,Every month,(RECORD MONTH),Yes,August,2016,,,,Other,Yes,Not at all,Not at all,Yes,No,27100,11,,Don't know,Yes,Don't know,No,No,Not employed,April,2015,Hospitality/entertainment,,,,,40,,52,40,Yes,No,Don't know,,,,2015,,(RECORD MONTH),Yes - covered in all months,,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,,Yes,12,No,Yes,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Medicaid,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,,11.75,,,,,Don't know,,12,23,Option not selected,Volunteer your time,Help with homework,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Head of Household,Option not selected,Household member #3,Household member #4,Option not selected,,,,,,,,,,,Don't know,,No,,Yes,Every month,,Don't know,,,,1100,Rented for cash rent,Respondent,25 to 39 years,Receives cash assistance,Employed,In labor force,Already adjusted LPR status,Don't know and/or refused,,,None,Receives both,Receives public assistance,Working now,,,,,,,,,,,Option not selected,Option not selected,Option not selected,Household member #4,Option not selected,,,,,
99900249,999002492,Bhutan,None,(RECORD HH MEMBER #2 IF APPLICABLE),5,Sibling / Stepsister / Stepbrother,Never married,Don't know,Male,Other,2015 or later,West,,,,,,,,,,,,Yes,GA,Yes,Every month,,,,,,,,,,,,,,,,,Don't know,,,,,,,,,,,,,,,,,,,,,,,2015,No,,,,,,,,,Don't know,,Yes,12,No,Yes,,,,,,,,,,,,,,,,,,,,Don't know,,12,,,,,,,,,,,Head of Household,Option not selected,Household member #3,Household member #4,Option not selected,,,,,,,,,,,Don't know,,No,,Yes,Every month,,Don't know,,,,1100,Rented for cash rent,Not respondent,Don't know and/or refused,Receives cash assistance,,,,,,,,Receives both,Receives public assistance,,,,,,,,,,,,Option not selected,Option not selected,Option not selected,Household member #4,Option not selected,,,,,
99900320,999003202,Bhutan,None,(RECORD HH MEMBER #2 IF APPLICABLE),3,Spouse (wife/husband),Married,25,Female,Other,2015 or later,South,,,Yes,Did not move to another state/it's the first state we lived in since living in U,12 months,Other government source,No,No,Folk healer,,,No,No,No,No months,,No,,,Yes,,,Secondary (or high school diploma),No,Well,Not well,Yes,No,,13,,No,,,No,No,Employee in private sector,,,,"Education (teacher, professor, educator, etc.)",,No,,,,,,No,,,Never worked in the U.S.,,,2015,,,Yes - covered in all months,,Option not selected,Option not selected,Option not selected,Other government health care,Option not selected,No,,No,,No,No,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Other government source,Option not selected,Option not selected,Option not selected,Option not selected,,,,,,,Every month,,,3,,,,,,,,,,,,,,,,Option not selected,Option not selected,Option not selected,Child care or family responsibilities,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,No months,,No,,,No months,,No,,,,700,Rented for cash rent,Respondent,18 to 24 years,Does not receive cash assistance,Not in labor force,Not in labor force,Plans to adjust LPR status in future,Individual does not receive RMA/Medicaid,,,None,Receives earnings,Doesn't receive public assistance,Not working now and never worked in past,,,,,,,,,,,,,,,,,,,,
99901682,999016823,Bhutan,Bhutan,(RECORD HH MEMBER #3 IF APPLICABLE),3,Other relative,Married,Don't know,Male,Other,2015 or later,Mid West,,,,,,,,,,,,No,No,Yes,No months,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,2011 to 2012,Don't know,,,,,,,,,Don't know,,No,,Yes,Yes,,,,,,,,,,,,,,,,,,,,No months,,,,,,,,,,,,,Head of Household,Household member #2,Option not selected,Option not selected,Option not selected,,,,,,,,,,,No months,,No,,,No months,,No,,,,1700,Rented for cash rent,Not respondent,Don't know and/or refused,Does not receive cash assistance,,,,,,,,Receives both,Receives public assistance,,,,,,,,,,,,,,,,,,,,,
99902187,999021873,Bhutan,None,(RECORD HH MEMBER #3 IF APPLICABLE),5,Sibling / Stepsister / Stepbrother,Married,44,Male,Lhotsampa,2015 or later,North East,,,,,,,,,,,,No,No,No,No months,,,,,,,,,,,,,,,,,Don't know,,,,,,,,,,,,,,,,,,,,,,,2013 to 2014,No,,,,,,,,,No,,No,,No,No,,,,,,,,,,,,,,,,,,,,No months,,,,,,,,,,,,,,,,,,,,,,,,,,,,No months,,No,,,No months,,No,,,,800,Rented for cash rent,Not respondent,40 to 54 years,Does not receive cash assistance,,,,,,,,"Doesn't receive public assistance, but earnings missing",Doesn't receive public assistance,,,,,,,,,,,,,,,,,,,,,
99901277,999012773,Bhutan,Other,(RECORD HH MEMBER #3 IF APPLICABLE),3,Other relative,Married,Don't know,Male,Other,2015 or later,South,,,,,,,,,,,,Don't know,Don't know,Yes,No months,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,2013 to 2014,Yes,,,,,,,,,No,,No,,No,Yes,,,,,,,,,,,,,,,,,,,,No months,,4,,,,,,,,,,,Option not selected,Household member #2,Option not selected,Option not selected,Option not selected,,,,,,,,,,,No months,,Don't know,,,No months,,No,,,,1100,Rented for cash rent,Not respondent,Don't know and/or refused,Does not receive cash assistance,,,,,,,,"Receives public assistance, but earnings missing",Receives public assistance,,,,,,,,,,,,,,,,,,,,,
99900434,999004342,Bhutan,Refused,(RECORD HH MEMBER #2 IF APPLICABLE),3,Spouse (wife/husband),Married,27,Female,Lhotsampa,2015 or later,West,,,Yes,Refused,02 - 11 Months,Medicaid,Yes,Yes,Private physician,,,Don't know,Don't know,Yes,No months,,No,,,Yes,,,Primary,Yes,Not well,Not at all,No,No,Don't know,7,,Don't know,Yes,Refused,No,No,Not employed,October,2015,Maintenance/cleaning services,,Refused,No,,,,36,Don't know,No,,Refused,Yes,,,2015,Yes,(RECORD MONTH),No - number of months not covered (RANGE: 02-11),5,Option not selected,Option not selected,Medicaid or Refugee Medical Assistance,Option not selected,Option not selected,Don't know,,No,,No,Yes,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Medicaid,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,,,,,,,Number of months,3,,24,Option not selected,Volunteer your time,Help with homework,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Household member #2,Household member #3,Option not selected,Option not selected,,Option not selected,Option not selected,Option not selected,Child care or family responsibilities,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Don't know,,No,,,No months,,No,,,,706,Rented for cash rent,Not respondent,25 to 39 years,Does not receive cash assistance,Not in labor force,Not in labor force,Plans to adjust LPR status in future,Individual receives RMA/Medicaid,,,None,Receives both,Receives public assistance,Not working now but worked in past,,,,,,,,,,,,,,,,,,,,
99900978,999009782,Bhutan,Don't know,(RECORD HH MEMBER #2 IF APPLICABLE),2,Spouse (wife/husband),Married,Don't know,Female,Don't know,2015 or later,Mid West,,,,,,,,,,,,Don't know,Don't know,No,Don't know,,,,,,,,,,,,,,,,,Don't know,,,,,,,,,,,,,,,,,,,,,,,2015,Yes,,,,,,,,,Don't know,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,Don't know,,Don't know,,,Don't know,,Don't know,,,,650,Rented for cash rent,Not respondent,Don't know and/or refused,Don't know and/or refused,,,,,,,,Don't know and/or refused,Don't know and/or refused,,,,,,,,,,,,,,,,,,,,,
99901042,999010422,Bhutan,Don't know,(RECORD HH MEMBER #2 IF APPLICABLE),3,Spouse (wife/husband),Married,Don't know,Female,Lhotsampa,2015 or later,North East,,,,,,,,,,,,No,No,No,No months,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,2015,Yes,,,,,,,,,No,,No,,No,No,,,,,,,,,,,,,,,,,,,,Number of months,10,,,,,,,,,,,,,,,,,,,,,,,,,,,No months,,No,,,No months,,No,,,,1000,Rented for cash rent,Not respondent,Don't know and/or refused,Does not receive cash assistance,,,,,,,,Receives earnings,Doesn't receive public assistance,,,,,,,,,,,,,,,,,,,,,
99901324,999013242,Bhutan,United States,(RECORD HH MEMBER #2 IF APPLICABLE),3,Spouse (wife/husband),Married,43,Female,Other,2015 or later,South,,,Yes,Did not move to another state/it's the first state we lived in since living in U,12 months,Other insurance,Yes,Yes,Private physician,,,No,No,No,No months,,No,,,Yes,,,None,Yes,Not at all,Not at all,No,No,,4,1,No,,,Yes,No,Not employed,,,,,,No,,,,,,No,,,Never worked in the U.S.,,,2015,Yes,,Yes - covered in all months,,Option not selected,Option not selected,Option not selected,Option not selected,Other insurance,No,,No,,No,No,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Other insurance,Option not selected,,,,,,,Number of months,6,,21,Option not selected,Volunteer your time,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,"Providing their basic needs (housing, food, etc.)",Option not selected,,,,,,,Limited English,Option not selected,Poor health or handicap,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,No months,,No,,,No months,,No,,,,1100,Rented for cash rent,Not respondent,40 to 54 years,Does not receive cash assistance,Not in labor force,Not in labor force,Plans to adjust LPR status in future,Individual does not receive RMA/Medicaid,,,None,Receives earnings,Doesn't receive public assistance,Not working now and never worked in past,,,,,,,,,,,,,,,,,,,,
99901320,999013202,Bhutan,None,(RECORD HH MEMBER #2 IF APPLICABLE),3,Spouse (wife/husband),Married,46,Female,Bhutanese,2015 or later,North East,,,Yes,Did not move to another state/it's the first state we lived in since living in U,02 - 11 Months,Other government source,Yes,Yes,Health clinic,,,No,No,Yes,No months,(RECORD MONTH),Yes,June,2016,,,,None,Yes,Not at all,Not at all,Yes,No,,0,,No,,,No,No,Other,,,,"Service worker (social worker, hairdresser, housekeeper, etc.)",,No,,,,,,No,,,Never worked in the U.S.,,,2015,Yes,,No - number of months not covered (RANGE: 02-11),2,Option not selected,Option not selected,Option not selected,Other government health care,Option not selected,No,,No,,No,Yes,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Other government source,Option not selected,Option not selected,Option not selected,Option not selected,,,,,,,No months,,12,13,Option not selected,Volunteer your time,Help with homework,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Head of Household,Option not selected,Option not selected,Option not selected,Option not selected,,Option not selected,Option not selected,Poor health or handicap,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,No months,,No,,,No months,,No,,,,1700,Rented for cash rent,Not respondent,40 to 54 years,Does not receive cash assistance,Not in labor force,Not in labor force,Already adjusted LPR status,Individual does not receive RMA/Medicaid,,,None,Receives both,Receives public assistance,Not working now and never worked in past,,,,,,,,,,,,,,,,,,,,
99900422,999004222,Bhutan,None,(RECORD HH MEMBER #2 IF APPLICABLE),5,Spouse (wife/husband),Married,Don't know,Male,Nepalese,2015 or later,South,,,,,,,,,,,,Don't know,Don't know,Yes,Don't know,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,2015,Yes,,,,,,,,,Don't know,,Don't know,,No,Yes,,,,,,,,,,,,,,,,,,,,Don't know,,,,,,,,,,,,,Head of Household,Household member #2,Household member #3,Household member #4,Option not selected,,,,,,,,,,,Don't know,,Don't know,,,Don't know,,No,,,,960,Rented for cash rent,Not respondent,Don't know and/or refused,Does not receive cash assistance,,,,,,,,"Receives public assistance, but earnings missing",Receives public assistance,,,,,,,,,,,,,,,,,,,,,
99900904,999009044,Bhutan,Don't know,(RECORD HH MEMBER #4 IF APPLICABLE),4,Sibling / Stepsister / Stepbrother,Never married,Don't know,Female,Lhotsampa,2015 or later,North East,,,,,,,,,,,,Yes,GA,Yes,Don't know,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,2015,Yes,,,,,,,,,Don't know,,Yes,12,No,Yes,,,,,,,,,,,,,,,,,,,,No months,,12,,,,,,,,,,,Option not selected,Option not selected,Option not selected,Household member #4,Option not selected,,,,,,,,,,,Don't know,,No,,Yes,Don't know,,No,,,,700,Rented for cash rent,Not respondent,Don't know and/or refused,Receives cash assistance,,,,,,,,Receives both,Receives public assistance,,,,,,,,,,,,Option not selected,Option not selected,Option not selected,Household member #4,Option not selected,,,,,
99901094,999010942,Bhutan,Bhutan,(RECORD HH MEMBER #2 IF APPLICABLE),2,Spouse (wife/husband),Married,Don't know,Female,Other,2015 or later,Mid West,,,,,,,,,,,,Yes,GA,Yes,No months,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,2015,Yes,,,,,,,,,No,,Yes,10,No,Yes,,,,,,,,,,,,,,,,,,,,Every month,,12,,,,,,,,,,,Head of Household,Household member #2,Option not selected,Option not selected,Option not selected,,,,,,,,,,,No months,,No,,Yes,No months,,No,,,,585,Rented for cash rent,Not respondent,Don't know and/or refused,Receives cash assistance,,,,,,,,"Receives public assistance, but earnings missing",Receives public assistance,,,,,,,,,,,,Head of Household,Option not selected,Option not selected,Option not selected,Option not selected,,,,,
99901099,999010994,Bhutan,Don't know,(RECORD HH MEMBER #4 IF APPLICABLE),5,Son-in-law / Daughter-in-law,Married,Don't know,Female,Lhotsampa,2015 or later,North East,,,,,,,,,,,,Yes,GA,Yes,Don't know,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,2015,Yes,,,,,,,,,No,,Yes,12,No,Yes,,,,,,,,,,,,,,,,,,,,Don't know,,,,,,,,,,,,,Head of Household,Household member #2,Option not selected,Household member #4,Household member #5,,,,,,,,,,,Don't know,,No,,Yes,Don't know,,No,,,,850,Rented for cash rent,Not respondent,Don't know and/or refused,Receives cash assistance,,,,,,,,"Receives public assistance, but earnings missing",Receives public assistance,,,,,,,,,,,,Head of Household,Household member #2,Option not selected,Option not selected,Option not selected,,,,,
99901658,999016585,Bhutan,Bhutan,(RECORD HH MEMBER #5 IF APPLICABLE),5,Parent / Stepparent / foster parent / guardian,Married,61,Female,Nepalese,2015 or later,Mid West,,,,,,,,,,,,Yes,GA,Yes,Some months,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,2015,No,,,,,,,,,No,,Yes,2,No,Yes,,,,,,,,,,,,,,,,,,,,No months,,12,,,,,,,,,,,Option not selected,Option not selected,Option not selected,Household member #4,Household member #5,,,,,,,,,,,No months,,No,,No,Number of months,1,No,,,,1700,Owned by you or someone in this household with or without a mortgage or loan,Not respondent,55 or older,Receives cash assistance,,,,,,,,Receives both,Receives public assistance,,,,,,,,,,,,Option not selected,Option not selected,Option not selected,Option not selected,Household member #5,,,,,
99901658,999016583,Bhutan,Bhutan,(RECORD HH MEMBER #3 IF APPLICABLE),5,Other relative,Married,29,Female,Nepalese,2015 or later,Mid West,,,Yes,Did not move to another state/it's the first state we lived in since living in U,Don't know,Medicaid,No,No,Other,"(25k,64k)",<=Line Poverty,Yes,GA,Yes,Some months,,No,,,Yes,,,Primary,Yes,Not well,Not at all,No,No,26000,4,,No,Yes,Employee of a private business,No,No,Not employed,August,2015,Manufacturing/production/factory,,,,,36,,50,36,Yes,No,Employee of a private business,,,,2015,Yes,(RECORD MONTH),Not covered in any month,,,,,,,No,,Yes,2,No,Yes,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Medicaid,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,,9.25,,,,,No months,,12,21,Option not selected,Volunteer your time,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Household member #4,Household member #5,,,,,,,,,,,No months,,No,,No,Number of months,1,No,,,,1700,Owned by you or someone in this household with or without a mortgage or loan,Not respondent,25 to 39 years,Receives cash assistance,Employed,In labor force,Plans to adjust LPR status in future,Individual does not receive RMA/Medicaid,,,None,Receives both,Receives public assistance,Working now,,,,,,,,,,,Option not selected,Option not selected,Option not selected,Option not selected,Household member #5,,,,,
99900735,999007354,Bhutan,None,(RECORD HH MEMBER #4 IF APPLICABLE),5,Spouse (wife/husband),Married,36,Female,Bhutanese,2015 or later,Mid West,,,Yes,Did not move to another state/it's the first state we lived in since living in U,12 months,No medical expenses,No,No,Folk healer,,,Yes,GA,Yes,Don't know,(RECORD MONTH),Yes,December,2016,,,,Primary,Yes,Not well,Not at all,No,No,Don't know,3,,No,Yes,Government employee,No,No,Not employed,,,Health care/education/social service,,,,,40,,Don't know,40,Yes,No,State government employee,,,,2015,Yes,Don't know,Yes - covered in all months,,Option not selected,Option not selected,Medicaid or Refugee Medical Assistance,Option not selected,Option not selected,No,,Yes,,No,Yes,No medical expenses,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,,8.5,,,,,No months,,10,4,Option not selected,Option not selected,Help with homework,Option not selected,Option not selected,Option not selected,Transportation,Option not selected,Option not selected,Head of Household,Option not selected,Option not selected,Option not selected,Option not selected,,,,,,,,,,,No months,,No,,Don't know,Don't know,,No,,,,,Owned by you or someone in this household with or without a mortgage or loan,Not respondent,25 to 39 years,Receives cash assistance,Employed,In labor force,Already adjusted LPR status,Individual receives RMA/Medicaid,,,None,"Receives public assistance, but earnings missing",Receives public assistance,Working now,,,,,,,,,,,Option not selected,Household member #2,Household member #3,Option not selected,Option not selected,,,,,
99900549,999005492,Bhutan,None,(RECORD HH MEMBER #2 IF APPLICABLE),5,Parent / Stepparent / foster parent / guardian,Divorced,55,Female,Nepalese,2015 or later,North East,,,Yes,Did not move to another state/it's the first state we lived in since living in U,12 months,Other government source,Yes,Yes,Folk healer,,,Yes,GA,No,Some months,Don't know,Yes,,,Yes,,,None,Yes,Not at all,Not at all,No,No,,0,,No,,,No,No,Not employed,,,,,,No,,,,,,No,,,Never worked in the U.S.,,,2015,Yes,,Yes - covered in all months,,Option not selected,Option not selected,Medicaid or Refugee Medical Assistance,Option not selected,Option not selected,No,,Yes,4,No,No,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Other government source,Option not selected,Option not selected,Option not selected,Option not selected,,,,,,,No months,,,3,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,"Providing their basic needs (housing, food, etc.)",Option not selected,,,,,,,Option not selected,Option not selected,Poor health or handicap,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,No months,,No,,Yes,Number of months,4,No,,,,700,Rented for cash rent,Not respondent,40 to 54 years,Receives cash assistance,Not in labor force,Not in labor force,Already adjusted LPR status,Individual receives RMA/Medicaid,,,None,"Receives public assistance, but earnings missing",Receives public assistance,Not working now and never worked in past,,,,,,,,,,,Option not selected,Household member #2,Option not selected,Option not selected,Option not selected,,,,,
99901898,999018983,Bhutan,Bhutan,(RECORD HH MEMBER #3 IF APPLICABLE),3,Parent / Stepparent / foster parent / guardian,Married,51,Female,Bhutanese,2015 or later,Mid West,,,Yes,Did not move to another state/it's the first state we lived in since living in U,12 months,Other government source,Yes,Yes,Private physician,,,Yes,GA,Yes,Every month,(RECORD MONTH),Yes,December,2016,,,,Training in refugee camp,No,Not well,Not well,No,No,,0,,No,,,No,No,Not employed,,,,,,No,,,,,,No,,,Never worked in the U.S.,,,2015,Yes,,Yes - covered in all months,,Option not selected,Option not selected,Medicaid or Refugee Medical Assistance,Option not selected,Option not selected,No,,Yes,12,No,Yes,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Other government source,Option not selected,Option not selected,Option not selected,Option not selected,,,,,,,No months,,12,9,,,,,,,,,,Option not selected,Household member #2,Household member #3,Option not selected,Option not selected,,Option not selected,Option not selected,Option not selected,Child care or family responsibilities,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,No months,,No,,Yes,Every month,,No,,,,1000,Rented for cash rent,Not respondent,40 to 54 years,Receives cash assistance,Not in labor force,Not in labor force,Already adjusted LPR status,Individual receives RMA/Medicaid,,,None,Receives both,Receives public assistance,Not working now and never worked in past,,,,,,,,,,,Option not selected,Household member #2,Option not selected,Option not selected,Option not selected,,,,,
99900492,999004925,Bhutan,None,(RECORD HH MEMBER #5 IF APPLICABLE),5,Spouse (wife/husband),Married,30,Female,Other,2015 or later,North East,,,Yes,Did not move to another state/it's the first state we lived in since living in U,12 months,Refugee Medical Assistance (RMA),No,No,Emergency room at a hospital,,,Yes,GA,Yes,Every month,,No,,,Yes,,,Primary,Yes,Well,Not well,No,No,,5,,No,,,No,No,Other,,,,"Service worker (social worker, hairdresser, housekeeper, etc.)",,No,,,,,,No,,,Never worked in the U.S.,,,2015,Yes,,Yes - covered in all months,,Option not selected,Option not selected,Medicaid or Refugee Medical Assistance,Option not selected,Option not selected,No,,Yes,12,No,Yes,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Refugee Medical Assistance (RMA),Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,,,,,,,No months,,12,12,Option not selected,Volunteer your time,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Household member #2,Household member #3,Option not selected,Household member #5,,Option not selected,Option not selected,Option not selected,Child care or family responsibilities,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,No months,,No,,Yes,Every month,,No,,,,2500,Rented for cash rent,Not respondent,25 to 39 years,Receives cash assistance,Not in labor force,Not in labor force,Plans to adjust LPR status in future,Individual receives RMA/Medicaid,,,None,"Receives public assistance, but earnings missing",Receives public assistance,Not working now and never worked in past,,,,,,,,,,,Option not selected,Option not selected,Household member #3,Option not selected,Option not selected,,,,,
99901065,999010652,Bhutan,None,(RECORD HH MEMBER #2 IF APPLICABLE),5,Spouse (wife/husband),Married,39,Female,Bhutanese,2015 or later,North East,,,Yes,Did not move to another state/it's the first state we lived in since living in U,12 months,Other government source,Yes,Yes,Health clinic,,,Yes,GA,Yes,Every month,(RECORD MONTH),Yes,August,2016,,,,None,Yes,Not well,Not at all,No,No,,0,,No,,,No,No,Not employed,,,,,,No,,,,,,No,,,Never worked in the U.S.,,,2015,Yes,,Yes - covered in all months,,Option not selected,Option not selected,Medicaid or Refugee Medical Assistance,Option not selected,Option not selected,No,,Yes,10,No,Yes,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Other government source,Option not selected,Option not selected,Option not selected,Option not selected,,,,,,,No months,,10,12,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,"Providing support (encouraging, etc.)",Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Household member #3,Option not selected,Option not selected,,Option not selected,Option not selected,Poor health or handicap,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Number of months,4,No,,Yes,Every month,,No,,,,2000,Rented for cash rent,Not respondent,25 to 39 years,Receives cash assistance,Not in labor force,Not in labor force,Already adjusted LPR status,Individual receives RMA/Medicaid,,,None,Receives both,Receives public assistance,Not working now and never worked in past,,,,,,,,,,,Option not selected,Household member #2,Option not selected,Option not selected,Option not selected,,,,,
